EndDate,Attractant,Condition,Site,Variety,Position,WilsonID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Sex
9/3/2019,,,,,,89,0.00,17.57,0.22,2.37,48.26,31.08,0.5,0,0,0,
9/3/2019,,,,,,89,0.00,29.17,7.90,3.75,53.33,5.2,0.64,0,0,0,
9/3/2019,,,,,,89,0.00,27.30,10.46,4.29,52.74,3.83,1.38,0,0,0,
9/3/2019,,,,,,89,0.41,29.72,8.56,3.24,52.02,5.24,0.81,0,0,0,
9/3/2019,,,,,,107,0.00,25.33,9.60,6.51,46.38,10.63,1.57,0,0,0,
9/3/2019,,,,,,107,0.25,33.63,8.23,2.78,50.57,3.71,0.84,0,0,0,
10/15/2019,,,,,,103,0.44,32.68,15.45,2.38,47.38,0.96,0.72,0,0,0,
10/15/2019,,,,,,109,0.28,33.45,12.33,3.07,49.30,1.3,0.27,0,0,0,
10/15/2019,,,,,,118,0.44,32.18,12.60,2.30,47.61,2.54,2.33,0,0,0,
10/15/2019,,,,,,131,0.38,31.80,11.83,3.09,50.25,2.24,0.41,0,0,0,
10/15/2019,,,,,,104,0.41,35.95,12.19,2.80,46.84,1.38,0.44,0,0,0,
10/15/2019,,,,,,113,0.32,34.05,12.10,2.84,48.26,1.79,0.65,0,0,0,
10/15/2019,,,,,,125,0.34,34.51,12.02,2.16,47.13,3.43,0.42,0,0,0,
10/15/2019,,,,,,91,0.31,34.27,13.29,2.63,46.99,1.96,0.55,0,0,0,
10/15/2019,,,,,,93,0.40,32.50,8.23,2.73,50.00,5.04,1.1,0,0,0,
10/15/2019,,,,,,92,0.42,33.04,13.82,2.92,45.98,2.78,1.03,0,0,0,
10/15/2019,,,,,,59,0.36,31.58,10.03,3.50,49.06,4.29,1.19,0,0,0,
10/15/2019,,,,,,89,0.33,33.07,8.38,3.42,49.73,4.42,0.66,0,0,0,
10/15/2019,,,,,,81,0.30,33.78,11.22,3.16,48.86,2.36,0.31,0,0,0,
10/15/2019,,,,,,67,0.29,33.78,14.48,2.72,46.22,1.86,0.64,0,0,0,
10/15/2019,,,,,,107,0.29,35.34,11.77,3.32,46.63,1.56,1.1,0,0,0,
10/15/2019,,,,,,105,0.60,32.59,8.52,3.25,41.15,10.23,3.67,0,0,0,
10/15/2019,,,,,,61,0.00,28.34,15.09,4.94,45.33,3.62,2.7,0,0,0,
10/15/2019,,,,,,65,0.37,37.44,11.48,2.38,44.28,3.47,0.58,0,0,0,
10/15/2019,,,,,,87,0.22,34.66,12.33,3.79,46.69,1.77,0.54,0,0,0,
10/15/2019,,,,,,87,0.00,33.91,10.71,3.41,48.32,2.48,1.17,0,0,0,
10/15/2019,,,,,,69,0.34,35.58,8.83,3.21,46.17,5.3,0.56,0,0,0,
10/15/2019,,,,,,69,0.26,27.92,5.83,2.41,47.96,13.77,1.85,0,0,0,
10/15/2019,,,,,,71,0.22,30.50,14.08,3.00,49.00,2.46,0.74,0,0,0,
10/15/2019,,,,,,71,0.28,33.32,10.58,2.29,49.12,3.54,0.88,0,0,0,
8/15/2019,,,,,,193,0.14,32.74,7.57,4.12,50.87,3.52,1.04,0,0,0,
8/15/2019,,,,,,193,0.48,36.57,11.40,2.42,44.12,3.79,1.22,0,0,0,
8/15/2019,,,,,,193,0.24,32.34,7.36,4.29,53.34,1.98,0.44,0,0,0,
8/15/2019,,,,,,193,0.17,30.73,5.96,5.99,50.97,4.66,1.53,0,0,0,
8/15/2019,,,,,,193,0.25,32.11,8.35,5.27,49.21,3.92,0.89,0,0,0,
8/15/2019,,,,,,219,0.34,37.45,7.58,4.42,47.96,1.92,0.33,0,0,0,
8/15/2019,,,,,,219,0.92,35.02,6.75,4.76,47.68,2.77,2.11,0,0,0,
8/15/2019,,,,,,219,0.21,33.73,5.95,5.25,48.57,4.46,1.67,0,0,0,
8/15/2019,,,,,,219,0.00,29.13,8.19,7.13,47.09,6.48,1.97,0,0,0,
8/15/2019,,,,,,219,0.17,38.52,8.31,3.34,46.03,2.51,1.12,0,0,0,
8/15/2019,,,,,,195,0.25,32.01,6.88,6.22,49.92,3.34,1.39,0,0,0,
8/15/2019,,,,,,195,0.33,35.25,10.33,2.88,47.85,2.7,0.66,0,0,0,
8/15/2019,,,,,,195,0.25,37.54,10.27,2.80,44.96,2.77,1.42,0,0,0,
8/15/2019,,,,,,195,0.28,36.20,8.19,3.83,45.73,4.87,0.89,0,0,0,
8/15/2019,,,,,,181,0.22,34.60,7.97,4.12,50.10,2.58,0.42,0,0,0,
8/15/2019,,,,,,181,0.32,36.30,9.61,2.60,48.33,2.41,0.42,0,0,0,
8/15/2019,,,,,,181,0.66,33.80,11.67,3.74,47.26,2.79,0.38,0,0,0,
8/15/2019,,,,,,180,0.36,32.31,4.65,4.65,51.14,5.66,1.24,0,0,0,
8/15/2019,,,,,,180,0.21,35.11,7.21,4.87,46.74,3.71,2.15,0,0,0,
8/15/2019,,,,,,180,0.68,39.92,9.85,2.53,44.43,1.27,1.33,0,0,0,
8/15/2019,,,,,,180,0.35,35.64,8.10,3.27,50.13,1.8,0.72,0,0,0,
8/15/2019,,,,,,192,0.23,37.51,8.42,3.86,46.03,3.26,0.7,0,0,0,
8/15/2019,,,,,,177,0.17,34.41,7.11,3.82,50.13,2.85,1.52,0,0,0,
8/15/2019,,,,,,188,0.32,33.41,7.33,3.51,50.15,4.09,1.19,0,0,0,
8/15/2019,,,,,,193,0.29,36.26,7.77,2.87,46.99,5.13,0.7,0,0,0,
8/15/2019,,,,,,193,0.28,37.30,5.48,2.66,46.89,6.83,0.56,0,0,0,
8/15/2019,,,,,,193,0.22,35.24,7.09,3.53,47.20,5.31,1.42,0,0,0,
8/15/2019,,,,,,193,0.15,35.20,8.13,3.12,48.59,4.37,0.45,0,0,0,
8/15/2019,,,,,,193,0.33,33.78,8.56,5.16,47.60,3.59,1,0,0,0,
8/15/2019,,,,,,219,0.39,35.45,8.02,3.28,46.43,5.9,0.51,0,0,0,
8/15/2019,,,,,,188,0.21,35.00,7.10,3.95,47.15,4.99,1.59,0,0,0,
8/15/2019,,,,,,188,0.18,33.95,11.01,2.88,47.97,3.28,0.74,0,0,0,
8/15/2019,,,,,,188,0.00,25.14,9.75,8.37,45.79,6.07,4.9,0,0,0,
8/15/2019,,,,,,190,0.00,25.93,6.73,14.63,37.93,10.71,4.06,0,0,0,
8/15/2019,,,,,,189,0.00,31.56,8.40,8.67,48.31,2.13,0.93,0,0,0,
9/3/2019,,,,,,90,0.38,36.68,11.27,3.34,45.78,2.04,0.52,0,0,0,
9/3/2019,,,,,,90,0.25,32.80,10.40,2.84,49.90,2.21,1.6,0,0,0,
9/3/2019,,,,,,90,0.31,32.19,12.57,3.26,49.55,1.62,0.5,0,0,0,
9/3/2019,,,,,,90,0.15,32.65,6.85,5.66,47.65,6.15,0.9,0,0,0,
9/3/2019,,,,,,100,0.00,26.09,6.44,6.85,46.16,8.07,6.4,0,0,0,
9/3/2019,,,,,,109,0.46,38.92,9.13,3.99,45.25,2.01,0.23,0,0,0,
9/3/2019,,,,,,109,0.00,21.74,1.28,4.43,41.95,29.38,1.22,0,0,0,
9/3/2019,,,,,,131,0.35,35.51,12.17,2.15,47.57,1.62,0.64,0,0,0,
9/3/2019,,,,,,131,0.00,27.70,11.49,12.45,43.62,2.99,1.75,0,0,0,
9/3/2019,,,,,,91,0.50,35.07,10.02,4.05,48.96,0.97,0.44,0,0,0,
9/3/2019,,,,,,91,0.00,31.04,10.18,5.07,47.73,3.38,2.6,0,0,0,
9/3/2019,,,,,,91,0.29,35.20,9.90,2.82,48.64,2.47,0.68,0,0,0,
