"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
TRNQULTY.A,02/21/2018,28,60,0.85,152.41,"",""
TRNQULTY.A,02/22/2018,24,61,1.04,153.45,"",""
TRNQULTY.A,02/23/2018,31,53,0.00,153.45,"1","1"
TRNQULTY.A,02/24/2018,24,63,1.57,155.02,"",""
TRNQULTY.A,02/25/2018,32,64,2.09,157.11,"",""
TRNQULTY.A,02/26/2018,31,55,0.00,157.11,"",""
TRNQULTY.A,02/27/2018,30,56,0.08,157.20,"",""
TRNQULTY.A,02/28/2018,25,63,1.59,158.79,"",""
TRNQULTY.A,03/01/2018,47,62,2.14,160.93,"",""
TRNQULTY.A,03/02/2018,46,58,0.65,161.58,"",""
TRNQULTY.A,03/03/2018,38,57,0.28,161.86,"",""
TRNQULTY.A,03/04/2018,32,59,0.66,162.53,"",""
TRNQULTY.A,03/05/2018,34,64,2.16,164.69,"",""
TRNQULTY.A,03/06/2018,32,72,4.94,169.63,"",""
TRNQULTY.A,03/07/2018,44,76,7.84,177.47,"",""
TRNQULTY.A,03/08/2018,41,77,7.87,185.34,"",""
TRNQULTY.A,03/09/2018,48,74,7.59,192.93,"",""
TRNQULTY.A,03/10/2018,44,64,2.70,195.63,"",""
TRNQULTY.A,03/11/2018,38,73,5.82,201.45,"",""
TRNQULTY.A,03/12/2018,43,79,9.05,210.50,"",""
TRNQULTY.A,03/13/2018,51,74,8.22,218.72,"",""
TRNQULTY.A,03/14/2018,45,63,2.38,221.11,"",""
TRNQULTY.A,03/15/2018,50,64,3.32,224.43,"",""
TRNQULTY.A,03/16/2018,41,62,1.78,226.20,"",""
TRNQULTY.A,03/17/2018,37,61,1.31,227.51,"",""
TRNQULTY.A,03/18/2018,32,61,1.18,228.70,"",""
TRNQULTY.A,03/19/2018,31,70,4.12,232.82,"",""
TRNQULTY.A,03/20/2018,52,58,0.95,233.77,"",""
TRNQULTY.A,03/21/2018,51,64,3.47,237.25,"",""
TRNQULTY.A,03/22/2018,44,71,5.62,242.87,"",""
TRNQULTY.A,03/23/2018,38,64,2.34,245.21,"",""
TRNQULTY.A,03/24/2018,40,64,2.44,247.65,"",""
TRNQULTY.A,03/25/2018,38,63,1.99,249.63,"",""
TRNQULTY.A,03/26/2018,39,66,3.12,252.76,"",""
TRNQULTY.A,03/27/2018,37,71,4.92,257.68,"",""
TRNQULTY.A,03/28/2018,39,78,8.06,265.73,"",""
TRNQULTY.A,03/29/2018,46,82,10.96,276.70,"",""
TRNQULTY.A,03/30/2018,45,86,12.65,289.35,"",""
TRNQULTY.A,03/31/2018,52,87,14.88,304.22,"",""
TRNQULTY.A,04/01/2018,44,84,11.52,315.75,"",""
TRNQULTY.A,04/02/2018,47,79,9.74,325.49,"",""
TRNQULTY.A,04/03/2018,46,82,10.96,336.45,"",""
TRNQULTY.A,04/04/2018,53,83,13.22,349.67,"",""
TRNQULTY.A,04/05/2018,52,77,9.95,359.62,"",""
TRNQULTY.A,04/06/2018,57,73,10.00,369.62,"",""
TRNQULTY.A,04/07/2018,51,76,9.19,378.81,"",""
TRNQULTY.A,04/08/2018,42,73,6.25,385.06,"",""
TRNQULTY.A,04/09/2018,43,80,9.51,394.56,"",""
TRNQULTY.A,04/10/2018,52,84,13.39,407.96,"",""
TRNQULTY.A,04/11/2018,48,78,9.47,417.43,"",""
TRNQULTY.A,04/12/2018,42,67,3.73,421.16,"",""
TRNQULTY.A,04/13/2018,37,71,4.92,426.08,"",""
TRNQULTY.A,04/14/2018,40,81,9.51,435.59,"",""
TRNQULTY.A,04/15/2018,55,86,15.50,451.09,"",""
TRNQULTY.A,04/16/2018,39,63,2.03,453.13,"",""
TRNQULTY.A,04/17/2018,33,66,2.80,455.92,"",""
TRNQULTY.A,04/18/2018,38,70,4.60,460.53,"",""
TRNQULTY.A,04/19/2018,39,72,5.50,466.03,"",""
TRNQULTY.A,04/20/2018,43,81,9.96,475.99,"",""
TRNQULTY.A,04/21/2018,47,86,13.07,489.07,"",""
TRNQULTY.A,04/22/2018,48,90,15.23,504.30,"",""
TRNQULTY.A,04/23/2018,57,91,19.00,523.30,"",""
TRNQULTY.A,04/24/2018,56,92,19.00,542.30,"",""
TRNQULTY.A,04/25/2018,56,91,18.50,560.80,"",""
TRNQULTY.A,04/26/2018,54,87,15.57,576.37,"",""
TRNQULTY.A,04/27/2018,46,77,8.62,585.00,"",""
TRNQULTY.A,04/28/2018,48,76,8.53,593.52,"",""
TRNQULTY.A,04/29/2018,44,72,6.06,599.58,"",""
TRNQULTY.A,04/30/2018,45,76,8.00,607.58,"",""
TRNQULTY.A,05/01/2018,42,76,7.56,615.14,"",""
TRNQULTY.A,05/02/2018,44,80,9.67,624.81,"",""
TRNQULTY.A,05/03/2018,50,85,13.31,638.13,"",""
TRNQULTY.A,05/04/2018,55,90,17.50,655.63,"",""
TRNQULTY.A,05/05/2018,57,90,18.50,674.13,"",""
TRNQULTY.A,05/06/2018,55,87,16.00,690.13,"",""
TRNQULTY.A,05/07/2018,54,91,17.57,707.70,"",""
TRNQULTY.A,05/08/2018,52,94,18.34,726.04,"",""
TRNQULTY.A,05/09/2018,57,89,18.00,744.04,"",""
TRNQULTY.A,05/10/2018,51,87,14.57,758.61,"",""
TRNQULTY.A,05/11/2018,50,85,13.31,771.93,"",""
TRNQULTY.A,05/12/2018,57,86,16.50,788.43,"",""
TRNQULTY.A,05/13/2018,50,86,13.80,802.23,"",""
TRNQULTY.A,05/14/2018,52,86,14.38,816.61,"",""
TRNQULTY.A,05/15/2018,52,84,13.39,830.00,"",""
TRNQULTY.A,05/16/2018,54,76,10.09,840.09,"",""
TRNQULTY.A,05/17/2018,51,83,12.61,852.70,"",""
TRNQULTY.A,05/18/2018,53,87,15.21,867.91,"",""
TRNQULTY.A,05/19/2018,54,90,17.07,884.98,"",""
TRNQULTY.A,05/20/2018,49,83,12.09,897.07,"",""
TRNQULTY.A,05/21/2018,49,84,12.57,909.64,"",""
TRNQULTY.A,05/22/2018,56,87,16.50,926.14,"",""
TRNQULTY.A,05/23/2018,54,86,15.08,941.22,"",""
TRNQULTY.A,05/24/2018,54,83,13.58,954.80,"",""
TRNQULTY.A,05/25/2018,57,73,10.00,964.80,"",""
TRNQULTY.A,05/26/2018,48,79,9.95,974.74,"",""
TRNQULTY.A,05/27/2018,51,87,14.57,989.32,"",""
TRNQULTY.A,05/28/2018,60,97,23.13,1012.45,"",""
TRNQULTY.A,05/29/2018,62,102,25.45,1037.90,"",""
TRNQULTY.A,05/30/2018,56,94,20.00,1057.90,"",""
TRNQULTY.A,05/31/2018,46,80,10.02,1067.92,"",""
TRNQULTY.A,06/01/2018,47,86,13.07,1080.99,"",""
TRNQULTY.A,06/02/2018,56,98,21.47,1102.46,"",""
TRNQULTY.A,06/03/2018,60,105,25.13,1127.59,"",""
TRNQULTY.A,06/04/2018,65,101,26.66,1154.26,"",""
TRNQULTY.A,06/05/2018,57,93,20.00,1174.26,"",""
TRNQULTY.A,06/06/2018,55,88,16.50,1190.76,"",""
TRNQULTY.A,06/07/2018,51,89,15.56,1206.31,"",""
TRNQULTY.A,06/08/2018,51,93,17.53,1223.84,"",""
TRNQULTY.A,06/09/2018,56,86,16.00,1239.84,"",""
TRNQULTY.A,06/10/2018,50,84,12.83,1252.67,"",""
TRNQULTY.A,06/11/2018,54,91,17.57,1270.24,"",""
TRNQULTY.A,06/12/2018,60,101,24.25,1294.49,"",""
TRNQULTY.A,06/13/2018,64,103,26.62,1321.11,"",""
TRNQULTY.A,06/14/2018,63,101,25.70,1346.81,"",""
TRNQULTY.A,06/15/2018,56,97,21.15,1367.96,"",""
TRNQULTY.A,06/16/2018,52,91,16.86,1384.82,"",""
TRNQULTY.A,06/17/2018,53,81,12.23,1397.05,"",""
TRNQULTY.A,06/18/2018,56,90,18.00,1415.05,"",""
TRNQULTY.A,06/19/2018,60,97,23.13,1438.18,"",""
TRNQULTY.A,06/20/2018,63,99,25.20,1463.38,"",""
TRNQULTY.A,06/21/2018,60,98,23.44,1486.82,"",""
TRNQULTY.A,06/22/2018,59,103,24.23,1511.06,"",""
TRNQULTY.A,06/23/2018,65,104,27.29,1538.35,"",""
TRNQULTY.A,06/24/2018,64,103,26.62,1564.97,"",""
TRNQULTY.A,06/25/2018,61,95,22.93,1587.89,"",""
TRNQULTY.A,06/26/2018,61,102,24.97,1612.86,"",""
TRNQULTY.A,06/27/2018,59,100,23.51,1636.37,"",""
TRNQULTY.A,06/28/2018,56,90,18.00,1654.37,"1","1"
TRNQULTY.A,06/29/2018,60,97,23.13,1677.51,"",""
TRNQULTY.A,06/30/2018,62,102,25.45,1702.96,"",""
TRNQULTY.A,07/01/2018,67,104,28.23,1731.18,"",""
TRNQULTY.A,07/02/2018,64,99,25.69,1756.87,"",""
TRNQULTY.A,07/03/2018,58,95,21.43,1778.30,"",""
TRNQULTY.A,07/04/2018,57,93,20.00,1798.30,"",""
TRNQULTY.A,07/05/2018,61,96,23.30,1821.60,"",""
TRNQULTY.A,07/06/2018,69,103,28.98,1850.57,"",""
TRNQULTY.A,07/07/2018,68,103,28.51,1879.08,"",""
TRNQULTY.A,07/08/2018,67,103,28.04,1907.12,"",""
TRNQULTY.A,07/09/2018,66,100,26.91,1934.03,"",""
TRNQULTY.A,07/10/2018,65,102,26.88,1960.92,"",""
TRNQULTY.A,07/11/2018,64,103,26.62,1987.53,"",""
TRNQULTY.A,07/12/2018,71,104,30.08,2017.62,"",""
TRNQULTY.A,07/13/2018,75,102,31.59,2049.21,"",""
TRNQULTY.A,07/14/2018,71,104,30.08,2079.30,"",""
TRNQULTY.A,07/15/2018,71,103,29.91,2109.21,"",""
TRNQULTY.A,07/16/2018,68,104,28.69,2137.90,"",""
TRNQULTY.A,07/17/2018,68,105,28.87,2166.77,"",""
TRNQULTY.A,07/18/2018,70,106,29.95,2196.72,"",""
TRNQULTY.A,07/19/2018,70,105,29.79,2226.51,"",""
TRNQULTY.A,07/20/2018,70,104,29.62,2256.13,"",""
TRNQULTY.A,07/21/2018,72,100,29.79,2285.93,"",""
TRNQULTY.A,07/22/2018,69,101,28.58,2314.51,"",""
TRNQULTY.A,07/23/2018,70,102,29.26,2343.76,"",""
TRNQULTY.A,07/24/2018,77,104,32.81,2376.57,"",""
TRNQULTY.A,07/25/2018,71,106,30.40,2406.97,"",""
TRNQULTY.A,07/26/2018,69,104,29.16,2436.13,"",""
TRNQULTY.A,07/27/2018,67,103,28.04,2464.17,"",""
TRNQULTY.A,07/28/2018,64,103,26.62,2490.79,"",""
TRNQULTY.A,07/29/2018,66,103,27.57,2518.35,"",""
TRNQULTY.A,07/30/2018,64,100,25.94,2544.30,"",""
TRNQULTY.A,07/31/2018,66,102,27.36,2571.66,"",""
TRNQULTY.A,08/01/2018,68,103,28.51,2600.17,"",""
TRNQULTY.A,08/02/2018,69,101,28.58,2628.74,"",""
TRNQULTY.A,08/03/2018,61,101,24.73,2653.48,"",""
TRNQULTY.A,08/04/2018,62,101,25.22,2678.70,"",""
TRNQULTY.A,08/05/2018,59,98,22.95,2701.65,"",""
TRNQULTY.A,08/06/2018,60,97,23.13,2724.78,"",""
TRNQULTY.A,08/07/2018,62,99,24.71,2749.49,"",""
TRNQULTY.A,08/08/2018,57,104,23.50,2772.99,"",""
TRNQULTY.A,08/09/2018,62,104,25.88,2798.86,"",""
TRNQULTY.A,08/10/2018,67,103,28.04,2826.90,"",""
TRNQULTY.A,08/11/2018,67,101,27.62,2854.52,"",""
TRNQULTY.A,08/12/2018,63,104,26.35,2880.87,"",""
TRNQULTY.A,08/13/2018,69,94,26.50,2907.37,"1","1"
TRNQULTY.A,08/14/2018,64,96,24.79,2932.16,"",""
TRNQULTY.A,08/15/2018,60,95,22.43,2954.59,"",""
TRNQULTY.A,08/16/2018,62,98,24.43,2979.01,"",""
TRNQULTY.A,08/17/2018,66,102,27.36,3006.37,"",""
TRNQULTY.A,08/18/2018,69,103,28.98,3035.35,"",""
TRNQULTY.A,08/19/2018,65,103,27.09,3062.45,"",""
TRNQULTY.A,08/20/2018,62,100,24.97,3087.42,"",""
TRNQULTY.A,08/21/2018,58,91,19.50,3106.92,"",""
TRNQULTY.A,08/22/2018,57,90,18.50,3125.42,"",""
TRNQULTY.A,08/23/2018,57,91,19.00,3144.42,"",""
TRNQULTY.A,08/24/2018,55,88,16.50,3160.92,"",""
TRNQULTY.A,08/25/2018,59,92,20.50,3181.42,"",""
TRNQULTY.A,08/26/2018,58,93,20.50,3201.92,"",""
TRNQULTY.A,08/27/2018,55,90,17.50,3219.42,"",""
TRNQULTY.A,08/28/2018,57,87,17.00,3236.42,"",""
TRNQULTY.A,08/29/2018,65,88,21.50,3257.92,"",""
TRNQULTY.A,08/30/2018,57,86,16.50,3274.42,"",""
TRNQULTY.A,08/31/2018,54,90,17.07,3291.49,"",""
TRNQULTY.A,09/01/2018,58,93,20.50,3311.99,"",""
TRNQULTY.A,09/02/2018,59,99,23.24,3335.23,"",""
TRNQULTY.A,09/03/2018,62,97,24.12,3359.35,"",""
TRNQULTY.A,09/04/2018,60,98,23.44,3382.79,"",""
TRNQULTY.A,09/05/2018,62,99,24.71,3407.50,"",""
TRNQULTY.A,09/06/2018,59,96,22.30,3429.81,"",""
TRNQULTY.A,09/07/2018,61,99,24.22,3454.02,"",""
TRNQULTY.A,09/08/2018,61,99,24.22,3478.24,"",""
TRNQULTY.A,09/09/2018,55,97,20.66,3498.90,"",""
TRNQULTY.A,09/10/2018,56,95,20.43,3519.33,"",""
TRNQULTY.A,09/11/2018,57,97,21.65,3540.98,"",""
TRNQULTY.A,09/12/2018,58,88,18.00,3558.98,"",""
TRNQULTY.A,09/13/2018,49,84,12.57,3571.56,"",""
TRNQULTY.A,09/14/2018,52,87,14.88,3586.43,"",""
TRNQULTY.A,09/15/2018,54,86,15.08,3601.51,"",""
TRNQULTY.A,09/16/2018,50,85,13.31,3614.82,"",""
TRNQULTY.A,09/17/2018,51,88,15.06,3629.89,"",""
TRNQULTY.A,09/18/2018,52,87,14.88,3644.76,"",""
TRNQULTY.A,09/19/2018,51,88,15.06,3659.83,"",""
TRNQULTY.A,09/20/2018,52,92,17.35,3677.18,"",""
TRNQULTY.A,09/21/2018,52,96,19.15,3696.33,"",""
TRNQULTY.A,09/22/2018,58,97,22.14,3718.47,"",""
TRNQULTY.A,09/23/2018,59,95,21.93,3740.40,"",""
TRNQULTY.A,09/24/2018,55,92,18.50,3758.90,"",""
TRNQULTY.A,09/25/2018,56,95,20.43,3779.34,"",""
TRNQULTY.A,09/26/2018,56,97,21.15,3800.49,"",""
TRNQULTY.A,09/27/2018,54,100,21.13,3821.62,"",""
TRNQULTY.A,09/28/2018,58,95,21.43,3843.05,"",""
TRNQULTY.A,09/29/2018,53,80,11.73,3854.78,"",""
TRNQULTY.A,09/30/2018,55,83,14.00,3868.78,"",""
TRNQULTY.A,10/01/2018,56,88,17.00,3885.78,"",""
TRNQULTY.A,10/02/2018,64,88,21.00,3906.78,"",""
TRNQULTY.A,10/03/2018,60,75,12.50,3919.28,"",""
TRNQULTY.A,10/04/2018,56,81,13.50,3932.78,"",""
TRNQULTY.A,10/05/2018,51,79,10.65,3943.43,"",""
TRNQULTY.A,10/06/2018,53,82,12.72,3956.16,"",""
TRNQULTY.A,10/07/2018,53,80,11.73,3967.89,"",""
TRNQULTY.A,10/08/2018,50,82,11.85,3979.74,"",""
TRNQULTY.A,10/09/2018,45,85,12.18,3991.92,"",""
TRNQULTY.A,10/10/2018,50,78,9.91,4001.84,"",""
TRNQULTY.A,10/11/2018,57,79,13.00,4014.84,"",""
TRNQULTY.A,10/12/2018,53,83,13.22,4028.06,"",""
TRNQULTY.A,10/13/2018,50,88,14.78,4042.84,"",""
TRNQULTY.A,10/14/2018,46,83,11.43,4054.27,"",""
TRNQULTY.A,10/15/2018,44,82,10.59,4064.86,"",""
TRNQULTY.A,10/16/2018,38,82,9.68,4074.55,"",""
TRNQULTY.A,10/17/2018,40,86,11.77,4086.32,"",""
TRNQULTY.A,10/18/2018,46,85,12.38,4098.70,"",""
TRNQULTY.A,10/19/2018,45,86,12.65,4111.35,"",""
TRNQULTY.A,10/20/2018,45,88,13.60,4124.95,"",""
TRNQULTY.A,10/21/2018,49,87,14.03,4138.98,"",""
TRNQULTY.A,10/22/2018,49,83,12.09,4151.07,"",""
TRNQULTY.A,10/23/2018,45,79,9.38,4160.44,"",""
TRNQULTY.A,10/24/2018,44,80,9.67,4170.11,"",""
TRNQULTY.A,10/25/2018,47,82,11.16,4181.27,"",""
TRNQULTY.A,10/26/2018,46,85,12.38,4193.66,"",""
TRNQULTY.A,10/27/2018,47,86,13.07,4206.73,"",""
TRNQULTY.A,10/28/2018,54,82,13.08,4219.81,"",""
TRNQULTY.A,10/29/2018,49,73,7.31,4227.12,"",""
TRNQULTY.A,10/30/2018,45,74,7.09,4234.21,"",""
TRNQULTY.A,10/31/2018,42,76,7.56,4241.77,"",""
TRNQULTY.A,11/01/2018,41,79,8.76,4250.53,"",""
TRNQULTY.A,11/02/2018,42,82,10.26,4260.79,"",""
TRNQULTY.A,11/03/2018,50,79,10.40,4271.18,"",""
TRNQULTY.A,11/04/2018,47,84,12.12,4283.30,"",""
TRNQULTY.A,11/05/2018,46,80,10.02,4293.32,"",""
TRNQULTY.A,11/06/2018,42,76,7.56,4300.88,"",""
TRNQULTY.A,11/07/2018,36,78,7.71,4308.60,"",""
TRNQULTY.A,11/08/2018,39,69,4.29,4312.88,"",""
TRNQULTY.A,11/09/2018,35,73,5.56,4318.44,"",""
TRNQULTY.A,11/10/2018,33,63,1.80,4320.24,"1","1"
TRNQULTY.A,11/11/2018,30,67,3.01,4323.25,"",""
TRNQULTY.A,11/12/2018,26,71,4.21,4327.46,"",""
TRNQULTY.A,11/13/2018,41,68,4.05,4331.51,"",""
TRNQULTY.A,11/14/2018,33,70,4.24,4335.76,"",""
TRNQULTY.A,11/15/2018,30,69,3.71,4339.46,"",""
TRNQULTY.A,11/16/2018,34,69,3.93,4343.40,"",""
TRNQULTY.A,11/17/2018,31,69,3.76,4347.15,"",""
TRNQULTY.A,11/18/2018,31,69,3.76,4350.91,"",""
TRNQULTY.A,11/19/2018,31,66,2.71,4353.62,"",""
TRNQULTY.A,11/20/2018,31,72,4.87,4358.49,"",""
TRNQULTY.A,11/21/2018,41,67,3.65,4362.14,"1","1"
TRNQULTY.A,11/22/2018,47,68,4.69,4366.83,"",""
TRNQULTY.A,11/23/2018,48,62,2.23,4369.06,"",""
TRNQULTY.A,11/24/2018,48,71,6.19,4375.25,"",""
TRNQULTY.A,11/25/2018,45,67,4.02,4379.27,"",""
TRNQULTY.A,11/26/2018,37,70,4.52,4383.79,"",""
TRNQULTY.A,11/27/2018,41,70,4.87,4388.66,"",""
TRNQULTY.A,11/28/2018,52,57,0.56,4389.22,"",""
TRNQULTY.A,11/29/2018,48,62,2.23,4391.45,"",""
TRNQULTY.A,11/30/2018,46,61,1.69,4393.14,"",""
TRNQULTY.A,12/01/2018,39,59,0.78,4393.91,"",""
TRNQULTY.A,12/02/2018,36,58,0.48,4394.39,"",""
TRNQULTY.A,12/03/2018,39,59,0.78,4395.16,"",""
TRNQULTY.A,12/04/2018,45,56,0.13,4395.29,"",""
TRNQULTY.A,12/05/2018,48,56,0.15,4395.44,"",""
TRNQULTY.A,12/06/2018,44,59,0.90,4396.35,"",""
TRNQULTY.A,12/07/2018,37,65,2.64,4398.99,"",""
TRNQULTY.A,12/08/2018,34,60,0.95,4399.94,"",""
TRNQULTY.A,12/09/2018,40,52,0.00,4399.94,"",""
TRNQULTY.A,12/10/2018,47,51,0.00,4399.94,"",""
TRNQULTY.A,12/11/2018,38,59,0.76,4400.69,"",""
TRNQULTY.A,12/12/2018,34,57,0.25,4400.94,"",""
TRNQULTY.A,12/13/2018,32,60,0.91,4401.86,"",""
TRNQULTY.A,12/14/2018,38,56,0.10,4401.96,"",""
TRNQULTY.A,12/15/2018,31,63,1.74,4403.70,"",""
TRNQULTY.A,12/16/2018,35,64,2.20,4405.90,"",""
TRNQULTY.A,12/17/2018,46,60,1.32,4407.22,"",""
TRNQULTY.A,12/18/2018,40,62,1.74,4408.96,"",""
TRNQULTY.A,12/19/2018,35,61,1.25,4410.21,"",""
TRNQULTY.A,12/20/2018,39,57,0.29,4410.50,"1","1"
TRNQULTY.A,12/21/2018,44,62,1.94,4412.44,"",""
TRNQULTY.A,12/22/2018,42,58,0.56,4413.00,"",""
TRNQULTY.A,12/23/2018,40,62,1.74,4414.73,"",""
TRNQULTY.A,12/24/2018,36,62,1.59,4416.32,"",""
TRNQULTY.A,12/25/2018,43,60,1.19,4417.51,"",""
TRNQULTY.A,12/26/2018,35,58,0.47,4417.98,"",""
TRNQULTY.A,12/27/2018,37,53,0.00,4417.98,"A","A"
TRNQULTY.A,12/28/2018,32,55,0.00,4417.98,"",""
TRNQULTY.A,12/29/2018,26,57,0.22,4418.19,"",""
TRNQULTY.A,12/30/2018,26,57,0.22,4418.41,"",""
TRNQULTY.A,12/31/2018,35,54,0.00,4418.41,"1","1"
