"plan_opt","code","prem20_total","prem21_total","prem21_gov","prem21_empl","prem21_increase","prem20_monthly_total","prem21_monthly_total","prem21_monthly_gov","prem21_monthly_empl","prem21_monthly_increase"
"Alabama UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Alabama UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","LS1","209.88",224.24,168.18,56.06,"3.59","454.74",485.85,364.39,121.46,"7.78"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","LS2","482.73",515.77,386.83,128.94,"8.26","1045.92",1117.5,838.13,279.37,"17.89"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","LS3","451.25",482.12,361.59,120.53,"7.72","977.71",1044.59,783.44,261.15,"16.72"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","KK1","329.48",354.94,241.58,113.36,"19.649999999999999","713.87",769.04,523.42,245.62,"42.59"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","KK2","823.71",887.37,562.25,325.12,"47.88","1784.71",1922.64,1218.21,704.43,"103.74"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","KK3","708.4",763.14,517.46,245.68,"41.4","1534.87",1653.47,1121.16,532.31,"89.7"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Alabama UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Alabama UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Alabama UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Alabama UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Alaska Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Alaska Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Alaska Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Alaska Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Alaska Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Alaska Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"Alaska Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"Alaska Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Alaska Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Alaska Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Arizona Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Arizona Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Arizona Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Arizona Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Arizona Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Arizona Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - Value Self","G54","328.95",330.94,241.58,89.36,"-3.82","712.73",717.04,523.42,193.62,"-8.27"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","G55","753.4",757.97,562.25,195.72,"-11.21","1632.37",1642.27,1218.21,424.06,"-24.29"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","G56","738.63",743.12,517.46,225.66,"-8.85","1600.37",1610.09,1121.16,488.93,"-19.18"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","G51","417.46",488.66,241.58,247.08,"65.39","904.5",1058.76,523.42,535.34,"141.68"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","G52","952.2",1114.65,562.25,552.4,"146.66999999999999","2063.1",2415.08,1218.21,1196.87,"317.79000000000002"
"Arizona Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","G53","942.79",1103.63,517.46,586.17,"147.5","2042.71",2391.2,1121.16,1270.04,"319.58999999999997"
"Arizona Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Arizona Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Arizona Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Arizona Aetna Open Access - High Self","WQ1","535.91999999999996",621.08,241.58,379.5,"79.349999999999994","1161.1600000000001",1345.67,523.42,822.25,"171.93"
"Arizona Aetna Open Access - High Self & Family","WQ2","1301.2",1507.96,562.25,945.71,"190.98","2819.27",3267.25,1218.21,2049.04,"413.79"
"Arizona Aetna Open Access - High Self Plus One","WQ3","1288.31",1493.01,517.46,975.55,"191.36","2791.34",3234.86,1121.16,2113.7,"414.62"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self","R61","331.75",374.88,241.58,133.3,"37.32","718.79",812.24,523.42,288.82,"80.87"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","R62","746.43",843.46,562.25,281.21,"81.25","1617.27",1827.5,1218.21,609.29,"176.04"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","R63","713.25",805.98,517.46,288.52,"79.39","1545.38",1746.29,1121.16,625.13,"172.01"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self","R64","265.17",299.64,224.73,74.91,"8.6199999999999992","574.54",649.22,486.92,162.3,"18.670000000000002"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self & Family","R65","596.62",674.18,505.64,168.54,"19.39","1292.68",1460.72,1095.54,365.18,"42.01"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self Plus One","R66","570.11",644.22,483.17,161.05,"18.52","1235.24",1395.81,1046.86,348.95,"40.14"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self","R94","241.76",263.52,197.64,65.88,"5.44","523.80999999999995",570.96,428.22,142.74,"11.79"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self & Family","R95","543.95000000000005",592.9,444.68,148.22,"12.23","1178.56",1284.62,963.47,321.15,"26.51"
"Arizona Humana CoverageFirst and Humana Value Plan - Value Self Plus One","R96","519.78",566.56,424.92,141.64,"11.7","1126.19",1227.55,920.66,306.89,"25.34"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self","R91","303.64",330.96,241.58,89.38,"13.47","657.89",717.08,523.42,193.66,"29.19"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self & Family","R92","683.17",744.65,558.49,186.16,"15.37","1480.2",1613.41,1210.06,403.35,"33.299999999999997"
"Arizona Humana CoverageFirst and Humana Value Plan - CDHP Self Plus One","R93","652.79999999999995",711.55,517.46,194.09,"30.89","1414.4",1541.69,1121.16,420.53,"66.930000000000007"
"Arizona Humana Health Plan, Inc. - Standard Self","C74","361.89",412.55,241.58,170.97,"44.85","784.1",893.86,523.42,370.44,"97.18"
"Arizona Humana Health Plan, Inc. - Standard Self & Family","C75","814.24",928.23,562.25,365.98,"98.21","1764.19",2011.17,1218.21,792.96,"212.79"
"Arizona Humana Health Plan, Inc. - Standard Self Plus One","C76","778.03",886.95,517.46,369.49,"95.58","1685.73",1921.73,1121.16,800.57,"207.1"
"Arizona Humana Health Plan, Inc. - High Self","C71","469.79",535.56,241.58,293.98,"59.96","1017.88",1160.38,523.42,636.96,"129.91999999999999"
"Arizona Humana Health Plan, Inc. - High Self & Family","C72","1057.01",1205,562.25,642.75,"132.21","2290.19",2610.83,1218.21,1392.62,"286.45"
"Arizona Humana Health Plan, Inc. - High Self Plus One","C73","1010.03",1151.44,517.46,633.98,"128.07","2188.4",2494.79,1121.16,1373.63,"277.49"
"Arizona Humana Health Plan, Inc. - High Self","BF1","659.77",679.56,241.58,437.98,"13.98","1429.5",1472.38,523.42,948.96,"30.3"
"Arizona Humana Health Plan, Inc. - High Self & Family","BF2","1484.43",1528.97,562.25,966.72,"28.76","3216.27",3312.77,1218.21,2094.56,"62.31"
"Arizona Humana Health Plan, Inc. - High Self Plus One","BF3","1418.47",1461.01,517.46,943.55,"29.2","3073.35",3165.52,1121.16,2044.36,"63.27"
"Arizona Humana Health Plan, Inc. - Standard Self","BF4","532.73",575.35,241.58,333.77,"36.81","1154.25",1246.59,523.42,723.17,"79.760000000000005"
"Arizona Humana Health Plan, Inc. - Standard Self & Family","BF5","1198.6500000000001",1294.54,562.25,732.29,"80.11","2597.08",2804.84,1218.21,1586.63,"173.57"
"Arizona Humana Health Plan, Inc. - Standard Self Plus One","BF6","1145.3800000000001",1237.02,517.46,719.56,"78.3","2481.66",2680.21,1121.16,1559.05,"169.65"
"Arizona UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","WF1","241.32",287.18,215.39,71.79,"11.46","522.86",622.22,466.67,155.55,"24.84"
"Arizona UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","WF2","570.64",679.17,509.38,169.79,"27.13","1236.3900000000001",1471.54,1103.66,367.88,"58.78"
"Arizona UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","WF3","518.79",617.43,463.07,154.36,"24.66","1124.05",1337.77,1003.33,334.44,"53.43"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","LU1","204.85",243.77,182.83,60.94,"9.73","443.84",528.17,396.13,132.04,"21.08"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","LU2","471.16",560.66,420.5,140.16,"22.37","1020.85",1214.76,911.07,303.69,"48.48"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","LU3","440.43",524.1,393.08,131.02,"20.91","954.27",1135.55,851.66,283.89,"45.32"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","KT1","334.51",360.98,241.58,119.4,"20.66","724.77",782.12,523.42,258.7,"44.77"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","KT2","836.26",902.47,562.25,340.22,"50.43","1811.9",1955.35,1218.21,737.14,"109.26"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","KT3","719.19",776.11,517.46,258.65,"43.58","1558.25",1681.57,1121.16,560.41,"94.42"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","VD1","240.93",286.71,215.03,71.68,"11.45","522.02",621.21,465.91,155.3,"24.8"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","VD2","569.71",678.06,508.55,169.51,"27.08","1234.3699999999999",1469.13,1101.85,367.28,"58.69"
"Arizona UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","VD3","517.95000000000005",616.42,462.32,154.1,"24.61","1122.23",1335.58,1001.69,333.89,"53.33"
"Arizona UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Arizona UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Arizona UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Arkansas Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Arkansas Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Arkansas Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Arkansas Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Arkansas Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Arkansas Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","F51","382.72",393.11,241.58,151.53,"4.58","829.23",851.74,523.42,328.32,"9.93"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","F52","872.64",896.32,562.25,334.07,"7.9","1890.72",1942.03,1218.21,723.82,"17.12"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","F53","864",887.45,517.46,369.99,"10.11","1872",1922.81,1121.16,801.65,"21.91"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - Value Self","F54","378.45",379.3,241.58,137.72,"-4.96","819.98",821.82,523.42,298.4,"-10.74"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","F55","866.59",868.56,562.25,306.31,"-13.81","1877.61",1881.88,1218.21,663.67,"-29.92"
"Arkansas Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","F56","849.59",851.52,517.46,334.06,"-11.41","1840.78",1844.96,1121.16,723.8,"-24.72"
"Arkansas Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Arkansas Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Arkansas Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Arkansas QualChoice - High Self","DH1","347.17",354.12,241.58,112.54,"1.1399999999999999","752.2",767.26,523.42,243.84,"2.48"
"Arkansas QualChoice - High Self & Family","DH2","905.52",923.63,562.25,361.38,"2.33","1961.96",2001.2,1218.21,782.99,"5.05"
"Arkansas QualChoice - High Self Plus One","DH3","674.39",687.89,515.92,171.97,"1.7","1461.18",1490.43,1117.82,372.61,"3.69"
"Arkansas QualChoice - Standard Self","DH4","271.04000000000002",276.46,207.35,69.11,"1.35","587.25",599,449.25,149.75,"2.94"
"Arkansas QualChoice - Standard Self & Family","DH5","706.96",721.12,540.84,180.28,"3.54","1531.75",1562.43,1171.82,390.61,"7.67"
"Arkansas QualChoice - Standard Self Plus One","DH6","526.51",537.06,402.8,134.26,"2.63","1140.77",1163.63,872.72,290.91,"5.72"
"Arkansas UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
"Arkansas UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Arkansas UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","LS1","209.88",224.24,168.18,56.06,"3.59","454.74",485.85,364.39,121.46,"7.78"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","LS2","482.73",515.77,386.83,128.94,"8.26","1045.92",1117.5,838.13,279.37,"17.89"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","LS3","451.25",482.12,361.59,120.53,"7.72","977.71",1044.59,783.44,261.15,"16.72"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","KK1","329.48",354.94,241.58,113.36,"19.649999999999999","713.87",769.04,523.42,245.62,"42.59"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","KK2","823.71",887.37,562.25,325.12,"47.88","1784.71",1922.64,1218.21,704.43,"103.74"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","KK3","708.4",763.14,517.46,245.68,"41.4","1534.87",1653.47,1121.16,532.31,"89.7"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Arkansas UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Arkansas UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Arkansas UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Arkansas UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"California Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"California Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"California Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"California Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"California Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"California Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"California Aetna HealthFund CDHP and Aetna Value Plan - Value Self","JS4","495.45",505.19,241.58,263.61,"3.93","1073.48",1094.58,523.42,571.16,"8.52"
"California Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","JS5","1131.04",1153.29,562.25,591.04,"6.47","2450.59",2498.8,1218.21,1280.59,"14.02"
"California Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","JS6","1119.8399999999999",1141.88,517.46,624.42,"8.6999999999999993","2426.3200000000002",2474.07,1121.16,1352.91,"18.850000000000001"
"California Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","JS1","463.38",466.12,241.58,224.54,"-3.07","1003.99",1009.93,523.42,486.51,"-6.64"
"California Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","JS2","1056.3",1062.53,562.25,500.28,"-9.5500000000000007","2288.65",2302.15,1218.21,1083.94,"-20.69"
"California Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","JS3","1045.8399999999999",1052,517.46,534.54,"-7.18","2265.9899999999998",2279.33,1121.16,1158.17,"-15.56"
"California Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"California Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"California Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"California Aetna Open Access - High Self","2X1","406.4",432.31,241.58,190.73,"20.100000000000001","880.53",936.67,523.42,413.25,"43.56"
"California Aetna Open Access - High Self & Family","2X2","954.11",1014.93,562.25,452.68,"45.04","2067.2399999999998",2199.02,1218.21,980.81,"97.59"
"California Aetna Open Access - High Self Plus One","2X3","935.4",995.03,517.46,477.57,"46.29","2026.7",2155.9,1121.16,1034.74,"100.3"
"California Anthem Blue Cross Select HMO - High Self","B31","357.29",357.29,241.58,115.71,"-5.81","774.13",774.13,523.42,250.71,"-12.58"
"California Anthem Blue Cross Select HMO - High Self & Family","B32","816.42",816.42,562.25,254.17,"-15.78","1768.91",1768.91,1218.21,550.7,"-34.19"
"California Anthem Blue Cross Select HMO - High Self Plus One","B33","757.46",757.46,517.46,240,"-13.34","1641.16",1641.16,1121.16,520,"-28.9"
"California Blue Shield of California - Access + HMO Self","SI1","384.85",396.4,241.58,154.82,"5.74","833.84",858.87,523.42,335.45,"12.45"
"California Blue Shield of California - Access + HMO Self & Family","SI2","885.16",911.72,562.25,349.47,"10.78","1917.85",1975.39,1218.21,757.18,"23.35"
"California Blue Shield of California - Access + HMO Self Plus One","SI3","846.67",872.07,517.46,354.61,"12.06","1834.45",1889.49,1121.16,768.33,"26.14"
"California Health Net of California - Basic Self","P61","149.71",168.02,126.02,42,"4.57","324.37",364.04,273.03,91.01,"9.92"
"California Health Net of California - Basic Self & Family","P62","359.29",403.26,302.45,100.81,"10.99","778.46",873.73,655.3,218.43,"23.82"
"California Health Net of California - Basic Self Plus One","P63","329.35",369.66,277.25,92.41,"10.07","713.59",800.93,600.7,200.23,"21.83"
"California Health Net of California - High Self","LP1","483.86",467.53,241.58,225.95,"-22.14","1048.3599999999999",1012.98,523.42,489.56,"-47.96"
"California Health Net of California - High Self & Family","LP2","1161.26",1122.08,562.25,559.83,"-54.96","2516.06",2431.17,1218.21,1212.96,"-119.08"
"California Health Net of California - High Self Plus One","LP3","1064.49",1028.57,517.46,511.11,"-49.26","2306.4",2228.57,1121.16,1107.41,"-106.73"
