"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate"
"A","NowBiolure",1,312,"Kettleman","Alm","No",1,1,2018-05-29,2018-05-25
"A","NowBiolure",2,323,"Kettleman","Alm","No",2,2,2018-05-29,2018-05-25
"A","NowBiolure",3,331,"Kettleman","Alm","No",1,1,2018-05-29,2018-05-25
"A","NowBiolure",4,344,"Kettleman","Alm","No",2,2,2018-05-29,2018-05-25
"A","NowBiolure",5,351,"Kettleman","Alm","No",3,3,2018-05-29,2018-05-25
"A","NowBiolure",6,1,"Kettleman","Alm","No",3,3,2018-05-29,2018-05-25
"A","NowBiolure",7,373,"Kettleman","Alm","No",7,7,2018-05-29,2018-05-25
"A","NowBiolure",8,385,"Kettleman","Alm","No",3,3,2018-05-29,2018-05-25
"A","NowBiolure",1,312,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"A","NowBiolure",2,323,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"A","NowBiolure",3,331,"Kettleman","Alm","No",1,NA,2018-06-07,2018-05-29
"A","NowBiolure",4,344,"Kettleman","Alm","No",2,NA,2018-06-07,2018-05-29
"A","NowBiolure",5,351,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"A","NowBiolure",6,365,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"A","NowBiolure",7,373,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"A","NowBiolure",8,385,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"B","Ppo",1,311,"Kettleman","Alm","No",39,36,2018-04-27,2018-04-10
"B","Ppo",2,324,"Kettleman","Alm","No",29,25,2018-04-27,2018-04-10
"B","Ppo",3,333,"Kettleman","Alm","No",18,18,2018-04-27,2018-04-10
"B","Ppo",4,341,"Kettleman","Alm","No",34,30,2018-04-27,2018-04-10
"B","Ppo",5,354,"Kettleman","Alm","No",46,40,2018-04-27,2018-04-10
"B","Ppo",6,364,"Kettleman","Alm","No",42,38,2018-04-27,2018-04-10
"B","Ppo",7,374,"Kettleman","Alm","No",65,59,2018-04-27,2018-04-10
"B","Ppo",8,384,"Kettleman","Alm","No",86,80,2018-04-27,2018-04-10
"B","Ppo",1,311,"Kettleman","Alm","No",43,40,2018-05-04,2018-04-27
"B","Ppo",2,324,"Kettleman","Alm","No",36,32,2018-05-04,2018-04-27
"B","Ppo",3,333,"Kettleman","Alm","No",42,36,2018-05-04,2018-04-27
"B","Ppo",4,341,"Kettleman","Alm","No",69,64,2018-05-04,2018-04-27
"B","Ppo",5,355,"Kettleman","Alm","No",31,29,2018-05-04,2018-04-27
"B","Ppo",6,363,"Kettleman","Alm","No",39,33,2018-05-04,2018-04-27
"B","Ppo",7,372,"Kettleman","Alm","No",20,16,2018-05-04,2018-04-27
"B","Ppo",8,381,"Kettleman","Alm","No",49,39,2018-05-04,2018-04-27
"B","Ppo",1,311,"Kettleman","Alm","No",50,46,2018-05-16,2018-05-04
"B","Ppo",2,324,"Kettleman","Alm","No",48,44,2018-05-16,2018-05-04
"B","Ppo",3,333,"Kettleman","Alm","No",44,29,2018-05-16,2018-05-04
"B","Ppo",4,341,"Kettleman","Alm","No",62,52,2018-05-16,2018-05-04
"B","Ppo",5,355,"Kettleman","Alm","No",31,30,2018-05-16,2018-05-04
"B","Ppo",6,363,"Kettleman","Alm","No",27,22,2018-05-16,2018-05-04
"B","Ppo",7,372,"Kettleman","Alm","No",21,19,2018-05-16,2018-05-04
"B","Ppo",8,381,"Kettleman","Alm","No",55,48,2018-05-16,2018-05-04
"B","Ppo",1,311,"Kettleman","Alm","No",14,7,2018-05-25,2018-05-16
"B","Ppo",2,324,"Kettleman","Alm","No",17,10,2018-05-25,2018-05-16
"B","Ppo",3,333,"Kettleman","Alm","No",19,13,2018-05-25,2018-05-16
"B","Ppo",4,341,"Kettleman","Alm","No",17,12,2018-05-25,2018-05-16
"B","Ppo",5,355,"Kettleman","Alm","No",5,4,2018-05-25,2018-05-16
"B","Ppo",6,363,"Kettleman","Alm","No",19,11,2018-05-25,2018-05-16
"B","Ppo",7,372,"Kettleman","Alm","No",9,6,2018-05-25,2018-05-16
"B","Ppo",8,381,"Kettleman","Alm","No",11,9,2018-05-25,2018-05-16
"B","Ppo",1,311,"Kettleman","Alm","No",2,1,2018-05-29,2018-05-25
"B","Ppo",2,324,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25
"B","Ppo",3,333,"Kettleman","Alm","No",0,0,2018-05-29,2018-05-25
"B","Ppo",4,341,"Kettleman","Alm","No",3,3,2018-05-29,2018-05-25
"B","Ppo",5,355,"Kettleman","Alm","No",2,1,2018-05-29,2018-05-25
"B","Ppo",6,363,"Kettleman","Alm","No",5,5,2018-05-29,2018-05-25
"B","Ppo",7,372,"Kettleman","Alm","No",2,2,2018-05-29,2018-05-25
"B","Ppo",8,381,"Kettleman","Alm","No",2,2,2018-05-29,2018-05-25
"B","Ppo",1,311,"Kettleman","Alm","No",23,NA,2018-06-07,2018-05-29
"B","Ppo",2,324,"Kettleman","Alm","No",6,NA,2018-06-07,2018-05-29
"B","Ppo",3,333,"Kettleman","Alm","No",10,NA,2018-06-07,2018-05-29
"B","Ppo",4,341,"Kettleman","Alm","No",13,NA,2018-06-07,2018-05-29
"B","Ppo",5,355,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"B","Ppo",6,363,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"B","Ppo",7,372,"Kettleman","Alm","No",7,NA,2018-06-07,2018-05-29
"B","Ppo",8,381,"Kettleman","Alm","No",21,NA,2018-06-07,2018-05-29
"C","PpoCombo",1,314,"Kettleman","Alm","No",69,63,2018-04-27,2018-04-10
"C","PpoCombo",2,321,"Kettleman","Alm","No",73,62,2018-04-27,2018-04-10
"C","PpoCombo",3,335,"Kettleman","Alm","No",68,62,2018-04-27,2018-04-10
"C","PpoCombo",4,345,"Kettleman","Alm","No",79,70,2018-04-27,2018-04-10
"C","PpoCombo",5,353,"Kettleman","Alm","No",68,66,2018-04-27,2018-04-10
"C","PpoCombo",6,363,"Kettleman","Alm","No",20,19,2018-04-27,2018-04-10
"C","PpoCombo",7,373,"Kettleman","Alm","No",41,41,2018-04-27,2018-04-10
"C","PpoCombo",8,383,"Kettleman","Alm","No",52,44,2018-04-27,2018-04-10
"C","PpoCombo",1,314,"Kettleman","Alm","No",73,68,2018-05-04,2018-04-27
"C","PpoCombo",2,321,"Kettleman","Alm","No",55,51,2018-05-04,2018-04-27
"C","PpoCombo",3,335,"Kettleman","Alm","No",70,61,2018-05-04,2018-04-27
"C","PpoCombo",4,345,"Kettleman","Alm","No",63,51,2018-05-04,2018-04-27
"C","PpoCombo",5,352,"Kettleman","Alm","No",86,71,2018-05-04,2018-04-27
"C","PpoCombo",6,362,"Kettleman","Alm","No",78,68,2018-05-04,2018-04-27
"C","PpoCombo",7,375,"Kettleman","Alm","No",50,43,2018-05-04,2018-04-27
"C","PpoCombo",8,384,"Kettleman","Alm","No",81,72,2018-05-04,2018-04-27
"C","PpoCombo",1,314,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04
"C","PpoCombo",2,321,"Kettleman","Alm","No",68,60,2018-05-16,2018-05-04
"C","PpoCombo",3,335,"Kettleman","Alm","No",104,82,2018-05-16,2018-05-04
"C","PpoCombo",4,345,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04
"C","PpoCombo",5,352,"Kettleman","Alm","No",81,74,2018-05-16,2018-05-04
"C","PpoCombo",6,362,"Kettleman","Alm","No",46,40,2018-05-16,2018-05-04
"C","PpoCombo",7,375,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04
"C","PpoCombo",8,384,"Kettleman","Alm","No",121,102,2018-05-16,2018-05-04
"C","PpoCombo",1,314,"Kettleman","Alm","No",31,17,2018-05-25,2018-05-16
"C","PpoCombo",2,321,"Kettleman","Alm","No",37,23,2018-05-25,2018-05-16
"C","PpoCombo",3,335,"Kettleman","Alm","No",46,23,2018-05-25,2018-05-16
"C","PpoCombo",4,345,"Kettleman","Alm","No",46,28,2018-05-25,2018-05-16
"C","PpoCombo",5,352,"Kettleman","Alm","No",21,17,2018-05-25,2018-05-16
"C","PpoCombo",6,362,"Kettleman","Alm","No",19,15,2018-05-25,2018-05-16
"C","PpoCombo",7,375,"Kettleman","Alm","No",32,21,2018-05-25,2018-05-16
"C","PpoCombo",8,384,"Kettleman","Alm","No",69,47,2018-05-25,2018-05-16
"C","PpoCombo",1,314,"Kettleman","Alm","No",11,9,2018-05-29,2018-05-25
"C","PpoCombo",2,321,"Kettleman","Alm","No",4,3,2018-05-29,2018-05-25
"C","PpoCombo",3,335,"Kettleman","Alm","No",15,13,2018-05-29,2018-05-25
"C","PpoCombo",4,345,"Kettleman","Alm","No",10,7,2018-05-29,2018-05-25
"C","PpoCombo",5,352,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25
"C","PpoCombo",6,362,"Kettleman","Alm","No",5,3,2018-05-29,2018-05-25
"C","PpoCombo",7,375,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25
"C","PpoCombo",8,384,"Kettleman","Alm","No",13,9,2018-05-29,2018-05-25
"C","PpoCombo",1,314,"Kettleman","Alm","No",22,NA,2018-06-07,2018-05-29
"C","PpoCombo",2,321,"Kettleman","Alm","No",25,NA,2018-06-07,2018-05-29
"C","PpoCombo",3,335,"Kettleman","Alm","No",30,NA,2018-06-07,2018-05-29
"C","PpoCombo",4,345,"Kettleman","Alm","No",20,NA,2018-06-07,2018-05-29
"C","PpoCombo",5,352,"Kettleman","Alm","No",17,NA,2018-06-07,2018-05-29
"C","PpoCombo",6,362,"Kettleman","Alm","No",13,NA,2018-06-07,2018-05-29
"C","PpoCombo",7,375,"Kettleman","Alm","No",19,NA,2018-06-07,2018-05-29
"C","PpoCombo",8,384,"Kettleman","Alm","No",37,NA,2018-06-07,2018-05-29
"D","StopNow",1,313,"Kettleman","Alm","No",45,41,2018-04-27,2018-04-10
"D","StopNow",3,332,"Kettleman","Alm","No",38,32,2018-04-27,2018-04-10
"D","StopNow",4,342,"Kettleman","Alm","No",22,22,2018-04-27,2018-04-10
"D","StopNow",5,352,"Kettleman","Alm","No",65,61,2018-04-27,2018-04-10
"D","StopNow",6,362,"Kettleman","Alm","No",78,69,2018-04-27,2018-04-10
"D","StopNow",7,372,"Kettleman","Alm","No",11,11,2018-04-27,2018-04-10
"D","StopNow",8,382,"Kettleman","Alm","No",40,38,2018-04-27,2018-04-10
"D","StopNow",1,313,"Kettleman","Alm","No",38,32,2018-05-04,2018-04-27
"D","StopNow",3,332,"Kettleman","Alm","No",41,38,2018-05-04,2018-04-27
"D","StopNow",4,342,"Kettleman","Alm","No",47,40,2018-05-04,2018-04-27
"D","StopNow",5,354,"Kettleman","Alm","No",14,13,2018-05-04,2018-04-27
"D","StopNow",6,364,"Kettleman","Alm","No",45,45,2018-05-04,2018-04-27
"D","StopNow",7,371,"Kettleman","Alm","No",28,27,2018-05-04,2018-04-27
"D","StopNow",8,382,"Kettleman","Alm","No",44,40,2018-05-04,2018-04-27
"D","StopNow",1,313,"Kettleman","Alm","No",53,49,2018-05-16,2018-05-04
"D","StopNow",3,332,"Kettleman","Alm","No",42,37,2018-05-16,2018-05-04
"D","StopNow",4,342,"Kettleman","Alm","No",47,43,2018-05-16,2018-05-04
"D","StopNow",5,354,"Kettleman","Alm","No",11,11,2018-05-16,2018-05-04
"D","StopNow",6,364,"Kettleman","Alm","No",46,38,2018-05-16,2018-05-04
"D","StopNow",7,371,"Kettleman","Alm","No",26,25,2018-05-16,2018-05-04
"D","StopNow",8,382,"Kettleman","Alm","No",27,25,2018-05-16,2018-05-04
"D","StopNow",1,313,"Kettleman","Alm","No",16,12,2018-05-25,2018-05-16
"D","StopNow",3,332,"Kettleman","Alm","No",12,8,2018-05-25,2018-05-16
"D","StopNow",4,342,"Kettleman","Alm","No",16,9,2018-05-25,2018-05-16
"D","StopNow",5,354,"Kettleman","Alm","No",6,4,2018-05-25,2018-05-16
"D","StopNow",6,364,"Kettleman","Alm","No",14,8,2018-05-25,2018-05-16
"D","StopNow",7,371,"Kettleman","Alm","No",9,5,2018-05-25,2018-05-16
"D","StopNow",8,382,"Kettleman","Alm","No",6,4,2018-05-25,2018-05-16
"D","StopNow",1,313,"Kettleman","Alm","No",2,2,2018-05-29,2018-05-25
"D","StopNow",3,332,"Kettleman","Alm","No",1,1,2018-05-29,2018-05-25
"D","StopNow",4,342,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25
"D","StopNow",5,354,"Kettleman","Alm","No",0,0,2018-05-29,2018-05-25
"D","StopNow",6,364,"Kettleman","Alm","No",1,1,2018-05-29,2018-05-25
"D","StopNow",7,371,"Kettleman","Alm","No",5,4,2018-05-29,2018-05-25
"D","StopNow",8,382,"Kettleman","Alm","No",2,1,2018-05-29,2018-05-25
"D","StopNow",1,313,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"D","StopNow",3,332,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"D","StopNow",4,342,"Kettleman","Alm","No",11,NA,2018-06-07,2018-05-29
"D","StopNow",5,354,"Kettleman","Alm","No",3,NA,2018-06-07,2018-05-29
"D","StopNow",6,364,"Kettleman","Alm","No",4,NA,2018-06-07,2018-05-29
"D","StopNow",7,371,"Kettleman","Alm","No",2,NA,2018-06-07,2018-05-29
"D","StopNow",8,382,"Kettleman","Alm","No",7,NA,2018-06-07,2018-05-29
"E","StopNowCombo",1,315,"Kettleman","Alm","No",92,88,2018-04-27,2018-04-10
"E","StopNowCombo",2,325,"Kettleman","Alm","No",69,67,2018-04-27,2018-04-10
"E","StopNowCombo",3,334,"Kettleman","Alm","No",55,53,2018-04-27,2018-04-10
"E","StopNowCombo",4,343,"Kettleman","Alm","No",88,77,2018-04-27,2018-04-10
"E","StopNowCombo",5,351,"Kettleman","Alm","No",85,85,2018-04-27,2018-04-10
"E","StopNowCombo",6,361,"Kettleman","Alm","No",67,60,2018-04-27,2018-04-10
"E","StopNowCombo",7,371,"Kettleman","Alm","No",30,28,2018-04-27,2018-04-10
"E","StopNowCombo",8,381,"Kettleman","Alm","No",17,15,2018-04-27,2018-04-10
"E","StopNowCombo",1,315,"Kettleman","Alm","No",52,50,2018-05-04,2018-04-27
"E","StopNowCombo",2,325,"Kettleman","Alm","No",71,64,2018-05-04,2018-04-27
"E","StopNowCombo",3,334,"Kettleman","Alm","No",64,60,2018-05-04,2018-04-27
"E","StopNowCombo",4,343,"Kettleman","Alm","No",60,58,2018-05-04,2018-04-27
"E","StopNowCombo",5,353,"Kettleman","Alm","No",61,54,2018-05-04,2018-04-27
"E","StopNowCombo",6,361,"Kettleman","Alm","No",40,37,2018-05-04,2018-04-27
"E","StopNowCombo",7,374,"Kettleman","Alm","No",46,41,2018-05-04,2018-04-27
"E","StopNowCombo",8,383,"Kettleman","Alm","No",74,68,2018-05-04,2018-04-27
"E","StopNowCombo",1,315,"Kettleman","Alm","No",81,72,2018-05-16,2018-05-04
"E","StopNowCombo",2,325,"Kettleman","Alm","No",80,67,2018-05-16,2018-05-04
"E","StopNowCombo",3,334,"Kettleman","Alm","No",54,50,2018-05-16,2018-05-04
"E","StopNowCombo",4,343,"Kettleman","Alm","No",66,60,2018-05-16,2018-05-04
"E","StopNowCombo",5,353,"Kettleman","Alm","No",68,62,2018-05-16,2018-05-04
"E","StopNowCombo",6,361,"Kettleman","Alm","No",61,56,2018-05-16,2018-05-04
"E","StopNowCombo",7,374,"Kettleman","Alm","No",55,50,2018-05-16,2018-05-04
"E","StopNowCombo",8,383,"Kettleman","Alm","No",96,89,2018-05-16,2018-05-04
"E","StopNowCombo",1,315,"Kettleman","Alm","No",15,9,2018-05-25,2018-05-16
"E","StopNowCombo",2,325,"Kettleman","Alm","No",34,21,2018-05-25,2018-05-16
"E","StopNowCombo",3,334,"Kettleman","Alm","No",20,14,2018-05-25,2018-05-16
"E","StopNowCombo",4,343,"Kettleman","Alm","No",32,21,2018-05-25,2018-05-16
"E","StopNowCombo",5,353,"Kettleman","Alm","No",25,15,2018-05-25,2018-05-16
"E","StopNowCombo",6,361,"Kettleman","Alm","No",32,25,2018-05-25,2018-05-16
"E","StopNowCombo",7,374,"Kettleman","Alm","No",14,11,2018-05-25,2018-05-16
"E","StopNowCombo",8,383,"Kettleman","Alm","No",37,22,2018-05-25,2018-05-16
"E","StopNowCombo",1,315,"Kettleman","Alm","No",11,7,2018-05-29,2018-05-25
"E","StopNowCombo",2,325,"Kettleman","Alm","No",6,5,2018-05-29,2018-05-25
"E","StopNowCombo",3,334,"Kettleman","Alm","No",12,9,2018-05-29,2018-05-25
"E","StopNowCombo",4,343,"Kettleman","Alm","No",5,4,2018-05-29,2018-05-25
"E","StopNowCombo",5,353,"Kettleman","Alm","No",4,4,2018-05-29,2018-05-25
"E","StopNowCombo",6,361,"Kettleman","Alm","No",9,6,2018-05-29,2018-05-25
"E","StopNowCombo",7,374,"Kettleman","Alm","No",6,4,2018-05-29,2018-05-25
"E","StopNowCombo",8,383,"Kettleman","Alm","No",5,3,2018-05-29,2018-05-25
"E","StopNowCombo",1,315,"Kettleman","Alm","No",7,NA,2018-06-07,2018-05-29
"E","StopNowCombo",2,325,"Kettleman","Alm","No",10,NA,2018-06-07,2018-05-29
"E","StopNowCombo",3,334,"Kettleman","Alm","No",13,NA,2018-06-07,2018-05-29
"E","StopNowCombo",4,343,"Kettleman","Alm","No",13,NA,2018-06-07,2018-05-29
"E","StopNowCombo",5,353,"Kettleman","Alm","No",5,NA,2018-06-07,2018-05-29
"E","StopNowCombo",6,361,"Kettleman","Alm","No",16,NA,2018-06-07,2018-05-29
"E","StopNowCombo",7,374,"Kettleman","Alm","No",11,NA,2018-06-07,2018-05-29
"E","StopNowCombo",8,383,"Kettleman","Alm","No",13,NA,2018-06-07,2018-05-29
